,A,B,C,D,E,F
1,~~~ Paper Details ~~~~, , , , ,
2,bibliographicCitation, ,"{nannini2023explainabilityinai,
    author = {Luca Nannini and Agathe Balayn and Adam Leon Smith},
    title = {Explainability in AI Policies: A Critical Review of Communications, Reports, Regulations, and Standards in the EU, US, and UK},
    year = 2023
}", , ,
3,~~~ Annotator Details ~~~~, , , , ,
4,identifier,dk, , , ,
5,role,annotator,DO NOT CHANGE, , ,
6,generatedAtTime,2023-12-08, , , ,
7,~~~ Class Instance / Individual Annotations starts below ~~~~, , , , ,
8,individualName,type,sourceExcerpt,sourcePageNumber,sourceExtractedDescription,
9,UKGov,Agent,"During the implementation period of Brexit, in 2018 the UK government established the Centre for Data Ethics and Innovation (CDEI), the first governmental body worldwide to advise on the ethical and societal implications of AI and data-driven technologies. In 2019, the UK released a National Data Strategy [57] advocating for the adoption and use of safe and explainable data sources, in parallel to an AI Sector Deal [58]. The Deal outlined a public AI R&D strategy to enhance its market competitiveness while reinforcing digital in-frastructures. In the plan, it was announced the intention to set up a research collaboration between the Alan Turing Institute (ATI) and the Information Commissioners Office (ICO) for guidance in explaining AI decisions. In 2020, that guidance was released in a well-structured report named Explaining Decisions with AI [75]. In that particularly prolific year for the ICO, it also released reportson AI auditing frameworks [111] and AI data protection [110]. The guidance on explainability is the first comprehensive governmental technical report ever produced detailing AI explainability definition,methods, process, and impacts. The document is structured in three parts, respectively addressed to compliance teams, technical teams,and management. This reflects the priority given by ICO & ATI to provide industry guidance on explainable AI. Yet, their major contribution is to be found in the establishment in 2019 of ProjectExplAIn [74], the first engagement strategy on AI explainability for organizations, implementing the guidance through workbooks and workshops. Leading AI industry standards. The UK is also taking a novel approach to widening participation in AI standards, led by the AlanTuring Institute, the National Physics Laboratory (NPL), and the British Standards Institute (BSI). To notice, in May 2021 a guidance on ethics, transparency, and accountability of ADM systems was released by the Central Digital & Data Office (CDDO), the CabinetOffice, and the Office of Artificial Intelligence [115]. Their major output is the development of a cross-government standard hub for algorithmic transparency for government departments and public sector bodies (Pillar 3 of the National Strategy Plan) [60] announced in November 2021 [29]. Informed by its close collaborations within AI standardization bodies in the EU and worldwide, the UK plans to integrate future standards in its AI innovation strategies [59, 60]. This direction found output in the first algorithmic transparency standard for government departments and public sectors in Novem-ber 2021 [29] alongside a report from The Alan Turing Institute[7] in July 2022, calling for a coordinated approach to increaseAI readiness and proposing the creation of an AI and RegulationCommon Capacity Hub to facilitate regulatory collaborations for policymakers.",1203,the UK government [...] cabinet office,
10,RandDStrategy,Strategy,"During the implementation period of Brexit, in 2018 the UK government established the Centre for Data Ethics and Innovation (CDEI), the first governmental body worldwide to advise on the ethical and societal implications of AI and data-driven technologies. In 2019, the UK released a National Data Strategy [57] advocating for the adoption and use of safe and explainable data sources, in parallel to an AI Sector Deal [58]. The Deal outlined a public AI R&D strategy to enhance its market competitiveness while reinforcing digital in-frastructures. In the plan, it was announced the intention to set up a research collaboration between the Alan Turing Institute (ATI) and the Information Commissioners Office (ICO) for guidance in explaining AI decisions. In 2020, that guidance was released in a well-structured report named Explaining Decisions with AI [75]. In that particularly prolific year for the ICO, it also released reportson AI auditing frameworks [111] and AI data protection [110]. The guidance on explainability is the first comprehensive governmental technical report ever produced detailing AI explainability definition,methods, process, and impacts. The document is structured in three parts, respectively addressed to compliance teams, technical teams,and management. This reflects the priority given by ICO & ATI to provide industry guidance on explainable AI. Yet, their major contribution is to be found in the establishment in 2019 of ProjectExplAIn [74], the first engagement strategy on AI explainability for organizations, implementing the guidance through workbooks and workshops. Leading AI industry standards. The UK is also taking a novel approach to widening participation in AI standards, led by the AlanTuring Institute, the National Physics Laboratory (NPL), and the British Standards Institute (BSI). To notice, in May 2021 a guidance on ethics, transparency, and accountability of ADM systems was released by the Central Digital & Data Office (CDDO), the CabinetOffice, and the Office of Artificial Intelligence [115]. Their major output is the development of a cross-government standard hub for algorithmic transparency for government departments and public sector bodies (Pillar 3 of the National Strategy Plan) [60] announced in November 2021 [29]. Informed by its close collaborations within AI standardization bodies in the EU and worldwide, the UK plans to integrate future standards in its AI innovation strategies [59, 60]. This direction found output in the first algorithmic transparency standard for government departments and public sectors in Novem-ber 2021 [29] alongside a report from The Alan Turing Institute[7] in July 2022, calling for a coordinated approach to increaseAI readiness and proposing the creation of an AI and RegulationCommon Capacity Hub to facilitate regulatory collaborations for policymakers.",1203,public AI R&D strategy to enhance its market competitiveness ,
